,tweet_id,text,rating_numerator,rating_denominator,name,favorites,retweets,jpg_url,img_num,p1,p1_dog
1,892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,32517,6097,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,True
2,891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,24482,4038,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,True
4,891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,39375,9103,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,True
6,890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,Jax,11571,1998,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,True
8,890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,27204,4151,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,True
9,890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,31188,7168,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,True
10,890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13,10,Koda,29980,7123,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,True
11,889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13,10,Bruno,27192,4835,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,French_bulldog,True
13,889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12,10,Ted,26524,4400,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French_bulldog,True
14,889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13,10,Stuart,14778,2187,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,golden_retriever,True
