tweet_id,favorites,retweets
892420643555336193,37845,8255
892177421306343426,32517,6097
891815181378084864,24482,4038
891689557279858688,41197,8405
891327558926688256,39375,9103
891087950875897856,19796,3023
890971913173991426,11571,1998
890729181411237888,63845,18334
890609185150312448,27204,4151
890240255349198849,31188,7168
890006608113172480,29980,7123
889880896479866881,27192,4835
889665388333682689,47023,9756
889638837579907072,26524,4400
889531135344209921,14778,2187
889278841981685760,24665,5212
888917238123831296,28478,4377
888804989199671297,24992,4161
888554962724278272,19385,3440
888078434458587136,21273,3393
887705289381826560,29515,5238
887517139158093824,45230,11369
887473957103951883,67445,17661
887343217045368832,32927,10132
887101392804085760,29892,5795
886983233522544640,34350,7555
886736880519319552,11793,3183
886680336477933568,21944,4336
886366144734445568,20722,3111
886267009285017600,116,4
886258384151887873,27369,6119
886054160059072513,0,104
885984800019947520,31908,6578
885528943205470208,35171,6248
885518971528720385,19980,3647
885311592912609280,0,18034
885167619883638784,21423,4266
884925521741709313,75670,17750
884876753390489601,27291,5457
884562892145688576,23753,4560
884441805382717440,26400,5504
884247878851493888,71334,19951
884162670584377345,19894,2898
883838122936631299,21412,3358
883482846933004288,44895,9657
883360690899218434,22182,3603
883117836046086144,36334,6480
882992080364220416,23424,3816
882762694511734784,27659,4772
